"pack_id","app_id","app_title","created","app_info"
"batch","crontask","Tareas programadas",2024-02-21T23:59:59,"Administración de tareas programadas"
"batch","jobsgroup","Grupos de tareas",2024-02-21T23:59:59,"Administración de grupos de tareas"
